,question
0,WRB VBD NNP VB VBG JJ .
1,WP NNS VBD NNP NN IN WRB PRP VBD VBG RP .
2,WRB VBD NNP VB NNP POS NNP CC VB DT JJ NN .
3,IN WP NN CC NN VBD NNP VB RP .
4,IN WDT NN VBD NNP VB JJ .
5,IN WP NNP CC NNP NN VBD PRP DT NN NN .
6,WP NN VBD PRP$ DT NN VBN NN .
7,WP VBD DT NNP POS NNP NN .
8,WRB VBD NNP NN TO VB .
9,WP NN VBD NNP VB IN NNP POS NNP .
10,WP VBD DT JJ NN NNP VBD IN DT NN NN .
11,WRB VBD NNP NN NNP IN NNP .
12,WRB JJ NNP NNS VBD NNP NN IN PRP$ JJ NN NN .
13,WP VBD NNP POS NN IN NNP POS NNP .
14,WP VBD DT NN IN NNP POS JJ NN NN .
15,"IN PRP$ JJ NN NN , WP JJ NN NN VBD NNP NN ."
16,JJ NN VBD NNP NN .
17,"TO VB DT NN IN NNP , WRB JJ VBD NNP VB ."
18,IN WP NN VBD NNP VB PRP$ JJ NNP NNP NN .
19,WRB VBD NNP VB DT NN IN PRP$ NN CC VB NN IN PRP$ NN .
20,JJ NN VBD NN IN NN IN PRP$ JJ NN .
21,"IN WP NN VBG NNP NNP , VBD NNP NN NNP NNP ."
22,WRB VBD NNP POS NNP VBP PRP$ NN NN .
23,WP VBD DT NN IN NNP POS JJ NN NN .
24,"WP VBD NNP POS JJ VBG NN , IN CD ."
25,WP VBZ NNP VBD TO .
26,WP VBZ DT NN IN NNP POS NN .
27,"IN PRP$ NN , WP VBP DT VBG NNS IN PRP ."
28,NNP NN VBD PRP$ CD IN DT RBS CD WP NNS IN DT NN .
29,NNP NN VBD PRP$ DT RBS JJ NN NN .
30,IN WDT NN VBD DT NNP NNP NNP IN NNP VBP NNP IN DT DT NNP NNP NNP .
31,WP NN VBN NNP IN DT RBS JJ JJ NN IN CD .
32,WRB VBD NNP VB PRP IN DT NN .
33,IN WDT NNS VBD NNP NN NNP IN DT CD JJS JJ NNS IN DT NN .
34,WRB JJ NNS VBZ NNP VBN IN PRP$ CD NN NN .
35,WRB JJ NNS VBD NNP VB IN NN IN NNP POS NNP .
36,"IN VBG NNP POS NNP , WRB JJ NNS VBD NNP NN IN PRP$ JJ NN ."
37,WRB JJ NNP NNS VBZ NNP VBD .
38,WP NN VBN NNP IN DT RBS JJ JJ NN IN CD .
39,NNP POS JJR NN RB VBD IN PRP$ IN WP NN .
40,WRB VBD NNP VB PRP$ NN IN .
41,WP NN VBD NNP POS NN .
42,NNP POS NN NN VBN IN WP NN .
43,NN POS NN VBD IN DT NNS NN IN WP NN .
44,NNP POS NN VBD IN WP NN .
45,WP JJR NN IN NNP RB VBD IN NNP POS NNP .
46,NNP VBZ DT NN IN WP JJ NN .
47,WP NN VBD NNP POS NN NN IN WRB PRP VBD DT NN .
48,WP VBD NNP POS NN JJ WRB NNP VBD DT NN .
49,WP VBZ DT NN IN NNP POS JJR NN .
50,NNP VBZ DT NN IN WDT JJ NN .
51,NNP VBD VBN IN WP NN .
52,WP NN VBD NNP VB TO NN IN .
53,WP VBD DT JJ NN TO VB NNP POS VBG NN .
54,NNP VBD TO WDT NN IN PRP VBD PRP JJ JJ NN .
55,NNP IN PRP$ NNS VBD NNP POS JJ NN .
56,PRP WDT NN VBD NNP DT NN CC NN IN DT NN .
57,WP NN IN NN VBD NNP NNP NNP .
58,WDT NN VBD NNP NN TO VB DT NN IN NN CD .
59,WP NN VBD NNP POS JJ NN VBN IN .
60,WP VBD DT NN IN NNP POS JJ NN NN .
61,WRB JJ VBD NNP WRB PRP VBD DT NN NN NN .
62,WP NN VBD NNP NN IN IN CD NNS .
63,WP VBD TO VB NNP POS NN IN NNP NNP DT NN NN .
64,"IN CD , WP VBD TO VB DT NNS VBG NN ."
65,WP VBD DT JJ NN NN TO VB DT NNS DT NN NN .
66,WP VBD NNP TO NNP CC VB PRP$ NN IN NNP NNP .
